Year,Unnamed: 0,Month,Decimal Date,Carbon Dioxide (ppm),Seasonally Adjusted CO2 (ppm),Carbon Dioxide Fit (ppm),Seasonally Adjusted CO2 Fit (ppm)
1958,0.0,1,1958.0411,0.0,0.0,0.0,0.0
1958,1.0,2,1958.126,0.0,0.0,0.0,0.0
1958,2.0,3,1958.2027,315.69,314.42,316.18,314.89
1958,3.0,4,1958.2877,317.45,315.15,317.3,314.98
1958,4.0,5,1958.3699,317.5,314.73,317.83,315.06
1958,5.0,6,1958.4548,0.0,0.0,317.22,315.14
1958,6.0,7,1958.537,315.86,315.17,315.87,315.21
1958,7.0,8,1958.6219,314.93,316.17,314.01,315.29
1958,8.0,9,1958.7068,313.21,316.06,312.48,315.35
1958,9.0,10,1958.789,0.0,0.0,312.45,315.4
1958,10.0,11,1958.874,313.33,315.2,313.61,315.46
1958,11.0,12,1958.9562,314.67,315.44,314.75,315.51
1959,12.0,1,1959.0411,315.58,315.56,315.6,315.57
1959,13.0,2,1959.126,316.48,315.88,316.24,315.63
1959,14.0,3,1959.2027,316.65,315.37,316.98,315.69
1959,15.0,4,1959.2877,317.72,315.41,318.09,315.76
1959,16.0,5,1959.3699,318.29,315.51,318.62,315.84
1959,17.0,6,1959.4548,318.15,316.04,318.02,315.93
1959,18.0,7,1959.537,316.54,315.85,316.68,316.02
1959,19.0,8,1959.6219,314.8,316.04,314.84,316.12
1959,20.0,9,1959.7068,313.84,316.7,313.33,316.21
1959,21.0,10,1959.789,313.34,316.31,313.34,316.3
1959,22.0,11,1959.874,314.81,316.69,314.53,316.39
1959,23.0,12,1959.9562,315.58,316.36,315.71,316.47
1960,24.0,1,1960.0410000000002,316.43,316.41,316.58,316.56
1960,25.0,2,1960.1257,316.97,316.37,317.25,316.64
1960,26.0,3,1960.2049,317.58,316.27,318.04,316.72
1960,27.0,4,1960.2896,319.03,316.69,319.15,316.8
1960,28.0,5,1960.3716,320.03,317.24,319.65,316.87
1960,29.0,6,1960.4563,319.59,317.49,319.01,316.93
1960,30.0,7,1960.5383,318.18,317.51,317.62,316.98
1960,31.0,8,1960.6229999999998,315.9,317.18,315.71,317.01
1960,32.0,9,1960.7077,314.17,317.05,314.14,317.04
1960,33.0,10,1960.7896,313.83,316.82,314.1,317.07
1960,34.0,11,1960.8743,315.0,316.88,315.24,317.1
1960,35.0,12,1960.9563,316.19,316.97,316.38,317.14
1961,36.0,1,1961.0411,316.9,316.88,317.22,317.19
1961,37.0,2,1961.126,317.7,317.09,317.87,317.26
1961,38.0,3,1961.2027,318.54,317.25,318.63,317.32
1961,39.0,4,1961.2877,319.48,317.15,319.75,317.41
1961,40.0,5,1961.3699,320.58,317.78,320.3,317.49
1961,41.0,6,1961.4548,319.77,317.65,319.69,317.59
1961,42.0,7,1961.537,318.57,317.87,318.34,317.67
1961,43.0,8,1961.6219,316.79,318.05,316.47,317.76
1961,44.0,9,1961.7068,314.99,317.87,314.94,317.84
1961,45.0,10,1961.789,315.31,318.31,314.93,317.92
1961,46.0,11,1961.874,316.1,317.99,316.12,317.99
1961,47.0,12,1961.9562,317.01,317.79,317.29,318.06
1962,48.0,1,1962.0411,317.94,317.92,318.15,318.12
1962,49.0,2,1962.126,318.55,317.94,318.81,318.19
1962,50.0,3,1962.2027,319.68,318.39,319.57,318.25
1962,51.0,4,1962.2877,320.57,318.24,320.68,318.32
1962,52.0,5,1962.3699,321.01,318.2,321.2,318.39
1962,53.0,6,1962.4548,320.62,318.48,320.56,318.45
1962,54.0,7,1962.537,319.61,318.91,319.17,318.5
1962,55.0,8,1962.6219,317.4,318.66,317.26,318.55
1962,56.0,9,1962.7068,316.25,319.14,315.68,318.6
1962,57.0,10,1962.789,315.42,318.43,315.64,318.64
1962,58.0,11,1962.874,316.69,318.59,316.8,318.68
1962,59.0,12,1962.9562,317.7,318.48,317.94,318.71
1963,60.0,1,1963.0411,318.74,318.72,318.79,318.76
1963,61.0,2,1963.126,319.07,318.46,319.43,318.8
1963,62.0,3,1963.2027,319.86,318.56,320.17,318.85
1963,63.0,4,1963.2877,321.39,319.04,321.27,318.9
1963,64.0,5,1963.3699,322.25,319.42,321.78,318.96
1963,65.0,6,1963.4548,321.48,319.33,321.13,319.01
1963,66.0,7,1963.537,319.74,319.04,319.72,319.05
1963,67.0,8,1963.6219,317.77,319.03,317.8,319.09
1963,68.0,9,1963.7068,316.21,319.12,316.21,319.13
1963,69.0,10,1963.789,315.99,319.01,316.17,319.18
1963,70.0,11,1963.874,317.06,318.97,317.34,319.22
1963,71.0,12,1963.9562,318.35,319.14,318.49,319.27
1964,72.0,1,1964.0410000000002,319.57,319.55,319.34,319.31
1964,73.0,2,1964.1257,0.0,0.0,319.98,319.36
1964,74.0,3,1964.2049,0.0,0.0,320.75,319.4
1964,75.0,4,1964.2896,0.0,0.0,321.84,319.45
1964,76.0,5,1964.3716,322.26,319.42,322.32,319.49
1964,77.0,6,1964.4563,321.89,319.76,321.63,319.52
1964,78.0,7,1964.5383,320.44,319.76,320.2,319.55
1964,79.0,8,1964.6229999999998,318.69,319.99,318.25,319.58
1964,80.0,9,1964.7077,316.71,319.63,316.65,319.6
1964,81.0,10,1964.7896,316.87,319.9,316.6,319.62
1964,82.0,11,1964.8743,317.68,319.59,317.75,319.63
1964,83.0,12,1964.9563,318.71,319.5,318.88,319.65
1965,84.0,1,1965.0411,319.44,319.42,319.71,319.68
1965,85.0,2,1965.126,320.44,319.82,320.34,319.71
1965,86.0,3,1965.2027,320.89,319.58,321.08,319.76
1965,87.0,4,1965.2877,322.14,319.77,322.2,319.82
1965,88.0,5,1965.3699,322.16,319.32,322.74,319.9
1965,89.0,6,1965.4548,321.87,319.71,322.13,319.99
1965,90.0,7,1965.537,321.21,320.5,320.77,320.09
1965,91.0,8,1965.6219,318.87,320.14,318.9,320.2
1965,92.0,9,1965.7068,317.82,320.75,317.37,320.32
1965,93.0,10,1965.789,317.3,320.35,317.4,320.43
1965,94.0,11,1965.874,318.87,320.79,318.65,320.55
1965,95.0,12,1965.9562,319.42,320.21,319.88,320.66
1966,96.0,1,1966.0411,320.62,320.61,320.81,320.78
1966,97.0,2,1966.126,321.59,320.97,321.54,320.91
1966,98.0,3,1966.2027,322.39,321.07,322.34,321.01
1966,99.0,4,1966.2877,323.7,321.33,323.51,321.12
1966,100.0,5,1966.3699,324.08,321.22,324.08,321.23
1966,101.0,6,1966.4548,323.75,321.59,323.47,321.32
1966,102.0,7,1966.537,322.39,321.68,322.09,321.41
1966,103.0,8,1966.6219,320.36,321.64,320.17,321.48
1966,104.0,9,1966.7068,318.64,321.58,318.59,321.55
1966,105.0,10,1966.789,318.1,321.16,318.57,321.62
1966,106.0,11,1966.874,319.79,321.71,319.77,321.68
1966,107.0,12,1966.9562,321.03,321.82,320.96,321.74
1967,108.0,1,1967.0411,322.32,322.31,321.83,321.8
1967,109.0,2,1967.126,322.5,321.87,322.49,321.85
1967,110.0,3,1967.2027,323.04,321.72,323.24,321.9
1967,111.0,4,1967.2877,324.42,322.04,324.35,321.95
1967,112.0,5,1967.3699,325.0,322.13,324.87,322.01
1967,113.0,6,1967.4548,324.09,321.92,324.22,322.07
1967,114.0,7,1967.537,322.55,321.83,322.81,322.13
1967,115.0,8,1967.6219,320.92,322.2,320.88,322.2
1967,116.0,9,1967.7068,319.25,322.21,319.3,322.27
1967,117.0,10,1967.789,319.39,322.46,319.29,322.34
1967,118.0,11,1967.874,320.72,322.66,320.5,322.42
1967,119.0,12,1967.9562,321.96,322.76,321.71,322.49
1968,120.0,1,1968.0410000000002,322.57,322.55,322.6,322.57
1968,121.0,2,1968.1257,323.14,322.52,323.28,322.65
1968,122.0,3,1968.2049,323.89,322.54,324.09,322.73
1968,123.0,4,1968.2896,325.02,322.61,325.25,322.82
1968,124.0,5,1968.3716,325.57,322.69,325.79,322.92
1968,125.0,6,1968.4563,325.36,323.2,325.17,323.02
1968,126.0,7,1968.5383,324.14,323.45,323.79,323.13
1968,127.0,8,1968.6229999999998,322.11,323.42,321.9,323.25
1968,128.0,9,1968.7077,320.33,323.3,320.37,323.36
1968,129.0,10,1968.7896,320.25,323.32,320.42,323.48
1968,130.0,11,1968.8743,321.32,323.26,321.69,323.61
1968,131.0,12,1968.9563,322.89,323.7,322.95,323.74
1969,132.0,1,1969.0411,324.0,323.98,323.91,323.88
1969,133.0,2,1969.126,324.42,323.79,324.66,324.03
1969,134.0,3,1969.2027,325.63,324.31,325.5,324.16
1969,135.0,4,1969.2877,326.66,324.26,326.72,324.3
1969,136.0,5,1969.3699,327.38,324.49,327.33,324.44
1969,137.0,6,1969.4548,326.7,324.51,326.74,324.57
1969,138.0,7,1969.537,325.88,325.16,325.38,324.69
1969,139.0,8,1969.6219,323.66,324.95,323.48,324.8
1969,140.0,9,1969.7068,322.38,325.35,321.91,324.9
1969,141.0,10,1969.789,321.78,324.87,321.91,324.99
1969,142.0,11,1969.874,322.85,324.8,323.15,325.07
1969,143.0,12,1969.9562,324.12,324.92,324.36,325.15
1970,144.0,1,1970.0411,325.06,325.04,325.27,325.24
1970,145.0,2,1970.126,325.98,325.35,325.96,325.32
1970,146.0,3,1970.2027,326.93,325.59,326.74,325.39
1970,147.0,4,1970.2877,328.14,325.73,327.9,325.47
1970,148.0,5,1970.3699,328.08,325.18,328.45,325.55
1970,149.0,6,1970.4548,327.67,325.47,327.8,325.63
1970,150.0,7,1970.537,326.34,325.62,326.39,325.7
1970,151.0,8,1970.6219,324.69,325.98,324.44,325.77
1970,152.0,9,1970.7068,323.1,326.08,322.83,325.83
1970,153.0,10,1970.789,323.07,326.17,322.79,325.88
1970,154.0,11,1970.874,324.01,325.96,323.99,325.93
1970,155.0,12,1970.9562,325.13,325.94,325.17,325.97
1971,156.0,1,1971.0411,326.17,326.15,326.04,326.01
1971,157.0,2,1971.126,326.68,326.05,326.69,326.04
1971,158.0,3,1971.2027,327.17,325.83,327.44,326.08
1971,159.0,4,1971.2877,327.79,325.37,328.57,326.13
1971,160.0,5,1971.3699,328.92,326.01,329.1,326.19
1971,161.0,6,1971.4548,328.57,326.36,328.44,326.26
1971,162.0,7,1971.537,327.36,326.64,327.02,326.33
1971,163.0,8,1971.6219,325.43,326.73,325.06,326.4
1971,164.0,9,1971.7068,323.36,326.36,323.46,326.47
1971,165.0,10,1971.789,323.57,326.68,323.44,326.54
1971,166.0,11,1971.874,324.8,326.76,324.68,326.62
1971,167.0,12,1971.9562,326.01,326.83,325.9,326.69
1972,168.0,1,1972.0410000000002,326.77,326.75,326.81,326.78
1972,169.0,2,1972.1257,327.63,327.0,327.51,326.87
1972,170.0,3,1972.2049,327.75,326.38,328.35,326.97
1972,171.0,4,1972.2896,329.73,327.27,329.55,327.09
1972,172.0,5,1972.3716,330.07,327.15,330.13,327.22
1972,173.0,6,1972.4563,329.09,326.89,329.54,327.37
1972,174.0,7,1972.5383,328.04,327.35,328.19,327.53
1972,175.0,8,1972.6229999999998,326.32,327.65,326.34,327.71
1972,176.0,9,1972.7077,324.84,327.86,324.87,327.9
1972,177.0,10,1972.7896,325.2,328.32,324.99,328.09
1972,178.0,11,1972.8743,326.5,328.46,326.36,328.3
1972,179.0,12,1972.9563,327.55,328.37,327.71,328.5
1973,180.0,1,1973.0411,328.55,328.53,328.75,328.71
1973,181.0,2,1973.126,329.56,328.92,329.57,328.92
1973,182.0,3,1973.2027,330.3,328.95,330.47,329.11
1973,183.0,4,1973.2877,331.5,329.07,331.76,329.31
1973,184.0,5,1973.3699,332.48,329.55,332.41,329.48
1973,185.0,6,1973.4548,332.07,329.85,331.85,329.64
1973,186.0,7,1973.537,330.87,330.14,330.48,329.78
1973,187.0,8,1973.6219,329.31,330.62,328.54,329.89
1973,188.0,9,1973.7068,327.51,330.53,326.93,329.96
1973,189.0,10,1973.789,327.18,330.32,326.89,330.01
1973,190.0,11,1973.874,328.16,330.14,328.09,330.05
1973,191.0,12,1973.9562,328.64,329.46,329.26,330.07
1974,192.0,1,1974.0411,329.35,329.33,330.12,330.09
1974,193.0,2,1974.126,330.71,330.07,330.76,330.11
1974,194.0,3,1974.2027,331.48,330.13,331.51,330.14
1974,195.0,4,1974.2877,332.65,330.2,332.63,330.17
1974,196.0,5,1974.3699,333.09,330.14,333.15,330.21
1974,197.0,6,1974.4548,332.25,330.02,332.47,330.25
1974,198.0,7,1974.537,331.18,330.45,331.0,330.3
1974,199.0,8,1974.6219,329.39,330.71,329.0,330.35
1974,200.0,9,1974.7068,327.43,330.46,327.36,330.4
1974,201.0,10,1974.789,327.37,330.52,327.32,330.46
1974,202.0,11,1974.874,328.46,330.44,328.55,330.51
1974,203.0,12,1974.9562,329.57,330.39,329.77,330.58
1975,204.0,1,1975.0411,330.4,330.38,330.68,330.65
1975,205.0,2,1975.126,331.4,330.76,331.38,330.73
1975,206.0,3,1975.2027,332.04,330.68,332.19,330.81
1975,207.0,4,1975.2877,333.31,330.86,333.38,330.91
1975,208.0,5,1975.3699,333.97,331.02,333.95,331.0
1975,209.0,6,1975.4548,333.6,331.36,333.32,331.1
1975,210.0,7,1975.537,331.9,331.17,331.9,331.2
1975,211.0,8,1975.6219,330.06,331.38,329.94,331.29
1975,212.0,9,1975.7068,328.56,331.6,328.33,331.39
1975,213.0,10,1975.789,328.34,331.5,328.33,331.47
1975,214.0,11,1975.874,329.49,331.48,329.59,331.56
1975,215.0,12,1975.9562,330.76,331.59,330.83,331.64
1976,216.0,1,1976.0410000000002,331.75,331.73,331.75,331.72
1976,217.0,2,1976.1257,332.56,331.92,332.45,331.8
1976,218.0,3,1976.2049,333.5,332.11,333.28,331.87
1976,219.0,4,1976.2896,334.58,332.1,334.45,331.95
1976,220.0,5,1976.3716,334.88,331.92,334.98,332.02
1976,221.0,6,1976.4563,334.34,332.11,334.31,332.1
1976,222.0,7,1976.5383,333.05,332.34,332.87,332.19
1976,223.0,8,1976.6229999999998,330.94,332.29,330.89,332.28
1976,224.0,9,1976.7077,329.3,332.37,329.3,332.38
1976,225.0,10,1976.7896,328.94,332.1,329.34,332.49
1976,226.0,11,1976.8743,330.31,332.3,330.65,332.62
1976,227.0,12,1976.9563,331.68,332.51,331.95,332.76
1977,228.0,1,1977.0411,332.93,332.91,332.96,332.92
1977,229.0,2,1977.126,333.42,332.77,333.76,333.1
1977,230.0,3,1977.2027,334.7,333.33,334.65,333.26
1977,231.0,4,1977.2877,336.07,333.6,335.94,333.45
1977,232.0,5,1977.3699,336.75,333.77,336.61,333.63
1977,233.0,6,1977.4548,336.27,334.01,336.05,333.82
1977,234.0,7,1977.537,334.92,334.18,334.69,333.99
1977,235.0,8,1977.6219,332.75,334.08,332.79,334.15
1977,236.0,9,1977.7068,331.59,334.65,331.23,334.31
1977,237.0,10,1977.789,331.16,334.34,331.29,334.46
1977,238.0,11,1977.874,332.4,334.41,332.62,334.6
1977,239.0,12,1977.9562,333.85,334.68,333.92,334.74
1978,240.0,1,1978.0411,334.97,334.95,334.91,334.87
1978,241.0,2,1978.126,335.38,334.74,335.67,335.01
1978,242.0,3,1978.2027,336.64,335.27,336.52,335.13
1978,243.0,4,1978.2877,337.76,335.28,337.75,335.25
1978,244.0,5,1978.3699,338.01,335.03,338.35,335.37
1978,245.0,6,1978.4548,337.89,335.63,337.73,335.49
1978,246.0,7,1978.537,336.54,335.8,336.31,335.59
1978,247.0,8,1978.6219,334.68,336.02,334.33,335.7
1978,248.0,9,1978.7068,332.76,335.83,332.7,335.79
1978,249.0,10,1978.789,332.55,335.74,332.71,335.89
1978,250.0,11,1978.874,333.92,335.93,333.99,335.98
1978,251.0,12,1978.9562,334.95,335.78,335.26,336.08
1979,252.0,1,1979.0411,336.23,336.21,336.22,336.19
1979,253.0,2,1979.126,336.76,336.11,336.96,336.3
1979,254.0,3,1979.2027,337.96,336.58,337.8,336.41
1979,255.0,4,1979.2877,338.89,336.4,339.04,336.53
1979,256.0,5,1979.3699,339.47,336.48,339.65,336.66
1979,257.0,6,1979.4548,339.29,337.02,339.05,336.8
1979,258.0,7,1979.537,337.73,336.99,337.64,336.93
1979,259.0,8,1979.6219,336.08,337.43,335.69,337.07
1979,260.0,9,1979.7068,333.92,337.0,334.11,337.21
1979,261.0,10,1979.789,333.86,337.07,334.17,337.36
1979,262.0,11,1979.874,335.29,337.31,335.52,337.52
1979,263.0,12,1979.9562,336.73,337.57,336.86,337.68
1980,264.0,1,1980.0410000000002,338.01,338.0,337.88,337.85
1980,265.0,2,1980.1257,338.36,337.71,338.68,338.01
1980,266.0,3,1980.2049,340.07,338.67,339.6,338.17
1980,267.0,4,1980.2896,340.77,338.25,340.87,338.33
1980,268.0,5,1980.3716,341.47,338.46,341.48,338.48
1980,269.0,6,1980.4563,341.17,338.91,340.87,338.63
1980,270.0,7,1980.5383,339.56,338.84,339.45,338.76
1980,271.0,8,1980.6229999999998,337.6,338.97,337.49,338.9
1980,272.0,9,1980.7077,335.88,338.99,335.9,339.02
1980,273.0,10,1980.7896,336.02,339.23,335.93,339.13
1980,274.0,11,1980.8743,337.1,339.12,337.24,339.24
1980,275.0,12,1980.9563,338.21,339.05,338.52,339.34
1981,276.0,1,1981.0411,339.24,339.22,339.47,339.44
1981,277.0,2,1981.126,340.48,339.82,340.21,339.54
1981,278.0,3,1981.2027,341.38,339.99,341.04,339.63
1981,279.0,4,1981.2877,342.51,340.0,342.24,339.72
1981,280.0,5,1981.3699,342.91,339.89,342.82,339.8
1981,281.0,6,1981.4548,342.25,339.96,342.15,339.89
1981,282.0,7,1981.537,340.49,339.74,340.69,339.97
1981,283.0,8,1981.6219,338.43,339.78,338.67,340.06
1981,284.0,9,1981.7068,336.69,339.8,337.03,340.16
1981,285.0,10,1981.789,336.86,340.08,337.04,340.26
1981,286.0,11,1981.874,338.36,340.4,338.36,340.37
1981,287.0,12,1981.9562,339.61,340.45,339.66,340.48
1982,288.0,1,1982.0411,340.75,340.73,340.63,340.59
1982,289.0,2,1982.126,341.61,340.95,341.37,340.7
1982,290.0,3,1982.2027,342.7,341.31,342.2,340.79
1982,291.0,4,1982.2877,343.57,341.05,343.41,340.88
1982,292.0,5,1982.3699,344.14,341.11,343.99,340.96
1982,293.0,6,1982.4548,343.35,341.05,343.31,341.04
1982,294.0,7,1982.537,342.06,341.31,341.83,341.11
1982,295.0,8,1982.6219,339.81,341.17,339.8,341.19
1982,296.0,9,1982.7068,337.98,341.1,338.14,341.27
1982,297.0,10,1982.789,337.86,341.1,338.14,341.37
1982,298.0,11,1982.874,339.26,341.31,339.46,341.48
1982,299.0,12,1982.9562,340.49,341.33,340.78,341.61
1983,300.0,1,1983.0411,341.38,341.36,341.8,341.77
1983,301.0,2,1983.126,342.52,341.86,342.61,341.94
1983,302.0,3,1983.2027,343.1,341.7,343.52,342.11
1983,303.0,4,1983.2877,344.94,342.42,344.84,342.3
1983,304.0,5,1983.3699,345.76,342.72,345.53,342.49
1983,305.0,6,1983.4548,345.32,343.01,344.97,342.69
1983,306.0,7,1983.537,343.98,343.23,343.59,342.86
1983,307.0,8,1983.6219,342.38,343.74,341.64,343.03
1983,308.0,9,1983.7068,339.87,342.99,340.05,343.19
1983,309.0,10,1983.789,339.99,343.24,340.1,343.34
1983,310.0,11,1983.874,341.15,343.2,341.46,343.49
1983,311.0,12,1983.9562,342.99,343.84,342.79,343.62
1984,312.0,1,1984.0410000000002,343.7,343.68,343.79,343.76
1984,313.0,2,1984.1257,344.5,343.84,344.56,343.89
1984,314.0,3,1984.2049,345.28,343.85,345.46,344.01
1984,315.0,4,1984.2896,347.07,344.51,346.72,344.14
1984,316.0,5,1984.3716,347.43,344.38,347.31,344.26
1984,317.0,6,1984.4563,346.8,344.5,346.65,344.38
1984,318.0,7,1984.5383,345.39,344.67,345.2,344.5
1984,319.0,8,1984.6229999999998,343.28,344.67,343.19,344.62
1984,320.0,9,1984.7077,341.07,344.22,341.57,344.74
1984,321.0,10,1984.7896,341.35,344.6,341.61,344.86
1984,322.0,11,1984.8743,342.98,345.03,342.96,344.99
1984,323.0,12,1984.9563,344.22,345.07,344.28,345.12
1985,324.0,1,1985.0411,344.97,344.95,345.28,345.25
1985,325.0,2,1985.126,345.99,345.33,346.06,345.39
1985,326.0,3,1985.2027,347.43,346.02,346.93,345.5
1985,327.0,4,1985.2877,348.35,345.8,348.18,345.62
1985,328.0,5,1985.3699,348.93,345.87,348.79,345.73
1985,329.0,6,1985.4548,348.25,345.93,348.13,345.83
1985,330.0,7,1985.537,346.56,345.8,346.65,345.92
1985,331.0,8,1985.6219,344.68,346.04,344.61,346.01
1985,332.0,9,1985.7068,343.09,346.24,342.93,346.1
1985,333.0,10,1985.789,342.8,346.07,342.93,346.19
1985,334.0,11,1985.874,344.24,346.3,344.24,346.28
1985,335.0,12,1985.9562,345.56,346.41,345.53,346.37
1986,336.0,1,1986.0411,346.3,346.27,346.5,346.47
1986,337.0,2,1986.126,346.95,346.29,347.25,346.58
1986,338.0,3,1986.2027,347.85,346.44,348.11,346.68
1986,339.0,4,1986.2877,349.55,347.0,349.37,346.81
1986,340.0,5,1986.3699,350.21,347.14,350.0,346.93
1986,341.0,6,1986.4548,349.55,347.22,349.37,347.06
1986,342.0,7,1986.537,347.94,347.18,347.91,347.18
1986,343.0,8,1986.6219,345.9,347.27,345.9,347.31
1986,344.0,9,1986.7068,344.85,348.01,344.26,347.44
1986,345.0,10,1986.789,344.17,347.45,344.29,347.56
1986,346.0,11,1986.874,345.66,347.73,345.64,347.69
1986,347.0,12,1986.9562,346.9,347.76,346.98,347.82
1987,348.0,1,1987.0411,348.02,348.0,348.0,347.97
1987,349.0,2,1987.126,348.47,347.8,348.81,348.13
1987,350.0,3,1987.2027,349.41,348.0,349.71,348.28
1987,351.0,4,1987.2877,350.99,348.43,351.04,348.46
1987,352.0,5,1987.3699,351.85,348.76,351.73,348.65
1987,353.0,6,1987.4548,351.26,348.92,351.17,348.85
1987,354.0,7,1987.537,349.51,348.75,349.79,349.05
1987,355.0,8,1987.6219,348.1,349.48,347.86,349.27
1987,356.0,9,1987.7068,346.45,349.62,346.31,349.49
1987,357.0,10,1987.789,346.36,349.66,346.43,349.71
1987,358.0,11,1987.874,347.81,349.89,347.88,349.94
